"session","date_start","date_end","id_user","id_event"
"7475085fdfcb55c3fa1f53a420aa4963","2021-04-10 21:03:00",NULL,"128","3"
"76f8b5fafc76120dec51f5dbb4d7c072","2021-04-10 20:53:56",NULL,"116","3"
"78d9dae8bed58ab9f4500bf90557ded7","2021-04-10 20:13:57",NULL,"74","3"
"7d0b34b2d928ee2e24c43e3311f82177","2021-04-10 17:50:26","2021-04-10 18:04:37","69","3"
"7e7613d5f919e2a968643e106713b0e9","2021-04-10 18:16:52","2021-04-10 18:17:21","71","3"
"80630aef3fc8d2756e34e075e4ef6b78","2021-04-09 08:48:52",NULL,"64","3"
"85e5d853a45c9c99fe67808668181cda","2021-04-10 20:53:16",NULL,"105","3"
"88ec3081fe7a225f81ffb0671e9e9601","2021-04-10 20:55:02",NULL,"122","3"
"8c66f02a1f16b16d4bbeee8622347adc","2021-04-10 20:46:45",NULL,"89","3"
"8c9c3d433c0fda9a1ef4ca50754d93a3","2021-04-10 20:54:50",NULL,"120","3"
"8e574b7a3148bdc86191813d5542b799","2021-04-10 20:48:17",NULL,"90","3"
"905d65386b9c18f9708551378220d890","2021-04-05 11:19:40","2021-04-09 08:51:59","2","3"
"90a0ffbed6907fd37a0358be19def845","2021-04-10 20:29:21",NULL,"80","3"
"90d5ce9401b021e881e09449033e204c","2021-04-10 20:43:49",NULL,"87","3"
"91a069d2f064a4bba8e0669d2eef56db","2021-04-08 07:31:30",NULL,"62","3"
"9529e66a539087577bbf4a7b134b2c6f","2021-04-10 18:07:34",NULL,"2","3"
"97e6dfbafe49b09f302b7a95f75a53d0","2021-04-09 14:30:06",NULL,"66","3"
"9ef2b34a604fb3f507c5f75cd70c43a4","2021-04-10 10:05:26",NULL,"2","3"
"a5d232bdd9e0cb3071bbce77bffbfdb0","2021-04-10 20:52:53",NULL,"91","3"
"a7a0f422da572ad9e8c03a9b331ac9f4","2021-04-10 21:58:09",NULL,"152","3"
"ac32f20cae325af56bfddcfbc807799d","2021-04-10 20:52:58",NULL,"92","3"
"ae45de9a1a5dc1dc17b6b412e58ce55e","2021-04-05 11:20:48",NULL,"58","3"
"b112c323f2868cf6f2bcc7fa739b749b","2021-03-30 19:06:34",NULL,"53","3"
"b1802199f247799acaf7b01244ac78da","2021-04-03 16:21:53",NULL,"56","3"
"b28f6c0c6043246a0994737ae4837159","2021-04-10 20:53:46",NULL,"112","3"
"b575064c4209b590e567d034c71086e5","2021-04-10 20:54:38",NULL,"119","3"
"b644fe3867831970225f18af1328dcae","2021-03-27 16:07:47",NULL,"52","3"
"b87e16793fafb9592b97103edca55519","2021-04-10 21:09:09",NULL,"135","3"
"be5fb3d3bc028cf03d8d905491124a7a","2021-04-10 20:24:53",NULL,"77","3"
"bfb4251920b48e5452804052ba539340","2021-04-10 20:25:54",NULL,"79","3"
"c06fdc7a2be22d0abb7ed1af214c6157","2021-04-10 20:53:32",NULL,"110","3"
"c0a0fd01dc584b972c1e2a66aad61c44","2021-04-08 07:44:39","2021-04-09 08:51:59","2","3"
"c11b383129f62851e38f492d84f3c2a2","2021-04-10 20:53:53",NULL,"115","3"
"c3e104f1973a7bb5b56633aa9fefd1c8","2021-04-10 21:09:44",NULL,"137","3"
"c60bacd28fc3a9ed9836e7fc1a4848c9","2021-04-09 11:26:54",NULL,"2","3"
"c6cc1bde474baabb904f45a6141bc6ac","2021-04-10 21:11:50",NULL,"139","3"
"c6ed56bf9f643c25441e812ecb2c5d74","2021-04-10 21:58:34",NULL,"153","3"
"c925b90199f8ca6879c46f598eaffa00","2021-04-10 21:06:16",NULL,"131","3"
"ce3612f84d3f8960d7a001ee948459ea","2021-04-10 20:03:28",NULL,"73","3"
"d8c682ac480054e2f2d01377039e4958","2021-04-10 20:53:05",NULL,"97","3"
"d9378577cf5c9ede0945ee821065ced5","2021-04-10 18:27:04",NULL,"72","3"
"dda2768fb1b4fcbf8862eafbd070ed9a","2021-04-10 18:22:09",NULL,"65","3"
"de0dac88be5d35ff047cafb64c85cf55","2021-04-10 20:59:00",NULL,"125","3"
"decea6f62220f35562e4dd5476a4722f","2021-04-10 17:50:51",NULL,"2","3"
